
2,2.780029,-0.2600098,0
3,2.559998,-1.280029,0
3,-1.768555,-0.4120483,0
2,-1.107971,-0.08056641,0
2,-1.609985,0.1500244,0
1,2.716553,0.6777344,0
1,-1.34967,0.7260132,0
1,-0.6686401,0.5532837,0
1,-0.256897,0.3225098,0
1,2.237549,0.4377441,0
1,1.805725,0.1972046,0
2,-1.107971,-0.08056641,0
2,2.182922,-0.5687866,0
2,1.722717,-0.7821045,0
3,-1.204407,-0.657959,0
3,2.026611,-1.423462,0
1,0.2227783,0.3175659,0
2,-0.3843994,-0.3773193,0
3,0.3522339,-1.34259,0
2,1.192261,-0.7049561,0
3,-0.1508179,-1.122925,0
2,0.1074219,-0.4682007,0
1,1.304382,0.2164917,0
3,-0.6644897,-0.9550781,0
2,0.6398315,-0.7108765,0
1,0.7788696,0.1588135,0
3,0.9121094,-1.420044,0
3,1.466003,-1.539978,0
